,use
2016-04-30 22:33:58,5.808966667
2016-04-30 22:35:58,3.38815
2016-04-30 22:37:58,6.153166667
2016-04-30 22:41:58,7.57315
2016-04-30 22:45:58,8.181033333
2016-04-30 22:46:58,4.759933333
2016-04-30 22:49:58,8.277116667
2016-04-30 22:50:58,3.568866667
2016-04-30 22:52:58,6.389583333
2016-04-30 22:54:58,1.13985
2016-04-30 22:56:58,5.01145
2016-04-30 22:59:58,6.680266667
2016-04-30 23:00:58,3.35065
2016-04-30 23:02:58,5.705133333
2016-04-30 23:04:58,1.362583333
2016-04-30 23:14:58,7.213166667
2016-04-30 23:15:58,1.437066667
2016-04-30 23:17:58,4.897366667
2016-04-30 23:19:58,3.2247
2016-04-30 23:30:58,8.190883333
2016-04-30 23:31:58,5.190483333
2016-04-30 23:48:58,4.251633333
2016-05-01 19:09:58,6.748316667
2016-05-01 19:10:58,3.773
2016-05-06 17:24:58,7.8871
2016-05-06 17:25:58,3.1647
2016-05-06 17:28:58,5.645266667
2016-05-06 17:34:58,6.98295
2016-05-06 17:35:58,3.262166667
2016-05-06 19:37:58,6.340516667
2016-05-06 19:38:58,2.906083333
2016-05-06 20:22:58,6.249583333
2016-05-06 20:23:58,3.114816667
2016-05-06 20:38:58,0.70695
2016-05-06 20:59:58,0.641183333
2016-05-06 21:03:58,5.951166667
2016-05-06 21:04:58,2.569166667
2016-05-06 21:06:58,4.761983333
2016-05-06 21:08:58,2.120916667
2016-05-06 21:19:58,3.877383333
2016-05-06 21:21:58,0.641233333
2016-05-07 15:42:58,6.984333333
2016-05-07 15:43:58,1.0821
2016-05-07 16:07:58,6.791016667
2016-05-07 16:08:58,1.926633333
2016-05-08 14:32:58,0.363733333
2016-05-08 14:56:58,0.234333333
2016-05-08 15:09:58,5.489816667
2016-05-08 15:10:58,0.011016667
2016-05-08 15:54:58,0.0096
2016-05-08 16:16:58,4.610366667
2016-05-08 16:17:58,0.460433333
2016-05-08 17:45:58,6.085933333
2016-05-08 18:15:58,9.38945
2016-05-08 18:16:58,3.589516667
2016-05-08 18:19:58,0.486516667
2016-05-08 21:08:58,7.212216667
2016-05-08 21:09:58,3.549566667
2016-05-08 21:14:58,5.9309
2016-05-08 21:15:58,0.42205
2016-05-08 21:17:58,6.38005
2016-05-08 21:23:58,0.40715
2016-05-08 21:24:58,2.9784
2016-05-08 21:26:58,0.416333333
2016-05-08 21:28:58,7.56475
2016-05-08 21:29:58,3.9317
2016-05-08 21:31:58,5.710283333
2016-05-08 21:33:58,0.418116667
2016-05-08 21:35:58,4.372133333
2016-05-08 21:39:58,5.76295
2016-05-08 21:41:58,2.7603
2016-05-08 21:42:58,5.443333333
2016-05-08 21:44:58,0.483516667
2016-05-08 21:46:58,4.376333333
2016-05-08 21:48:58,0.55415
2016-05-08 21:49:58,5.847133333
2016-05-08 21:51:58,3.366933333
2016-05-08 21:54:58,0.843966667
2016-05-08 21:56:58,5.201616667
2016-05-08 21:57:58,2.588283333
2016-05-08 21:59:58,6.840833333
2016-05-08 22:03:58,5.55255
2016-05-08 22:05:58,3.374866667
2016-05-08 22:07:58,5.886133333
2016-05-08 22:08:58,1.658616667
2016-05-08 22:10:58,6.8645
2016-05-08 22:15:58,2.313916667
2016-05-08 22:19:58,0.690783333
2016-05-08 22:21:58,5.49255
2016-05-08 22:26:58,0.739733333
2016-05-08 22:30:58,5.729783333
2016-05-08 22:31:58,2.095183333
2016-05-08 22:35:58,7.555583333
2016-05-08 22:36:58,4.141616667
2016-05-09 21:26:58,5.34805
2016-05-09 21:27:58,0.487833333
2016-05-09 21:30:58,3.25665
2016-05-09 21:31:58,6.139133333
2016-05-09 21:32:58,1.430683333
2016-05-09 21:39:58,5.919716667
2016-05-09 21:40:58,1.608533333
2016-05-09 21:44:58,3.2217
2016-05-09 21:46:58,1.360266667
2016-05-09 21:52:58,4.806133333
2016-05-09 21:53:58,2.13115
2016-05-09 22:02:58,6.158416667
2016-05-09 22:09:58,4.504316667
2016-05-09 22:11:58,1.917983333
2016-05-09 22:22:58,1.3399
2016-05-09 22:29:58,5.548066667
2016-05-09 22:31:58,0.626933333
2016-05-09 22:39:58,3.6037
2016-05-09 22:41:58,0.42925
2016-05-09 22:46:58,5.565883333
2016-05-09 22:47:58,2.5575
2016-05-09 22:52:58,8.24525
2016-05-09 22:54:58,3.421833333
2016-05-09 22:57:58,8.263233333
2016-05-09 22:59:58,4.38175
2016-05-09 23:10:58,9.356616667
2016-05-09 23:11:58,6.149633333
2016-05-09 23:22:58,9.956566667
2016-05-09 23:23:58,2.106366667
2016-05-12 18:40:58,3.125183333
2016-05-12 18:42:58,0.182866667
2016-05-12 18:44:58,4.2714
2016-05-12 18:45:58,1.504383333
2016-05-12 18:58:58,0.41045
2016-05-12 18:59:58,3.421233333
2016-05-12 19:08:58,5.559183333
2016-05-12 19:09:58,1.316616667
2016-05-12 19:21:58,5.2386
2016-05-12 19:29:58,5.396366667
2016-05-12 19:30:58,1.168616667
2016-05-12 19:38:58,5.38465
2016-05-12 19:39:58,0.916966667
2016-05-12 20:34:58,5.8549
2016-05-12 20:35:58,1.0798
2016-05-12 20:57:58,5.182466667
2016-05-12 20:58:58,0.779166667
2016-05-12 21:05:58,0.335466667
2016-05-12 21:31:58,0.415283333
2016-05-12 23:33:58,6.179516667
2016-05-12 23:34:58,0.620283333
2016-05-13 00:10:58,6.568033333
2016-05-13 10:44:58,6.439
2016-05-13 10:45:58,2.626666667
2016-05-13 12:05:58,5.444516667
2016-05-13 12:08:58,6.4548
2016-05-13 12:10:58,2.46925
2016-05-13 12:18:58,4.02195
2016-05-13 12:20:58,1.3092
2016-05-13 12:48:58,4.193616667
2016-05-13 12:50:58,0.7522
2016-05-13 12:55:58,4.866216667
2016-05-13 13:02:58,6.241466667
2016-05-13 13:03:58,1.4536
2016-05-13 13:16:58,5.514316667
2016-05-13 13:22:58,6.9669
2016-05-13 13:51:58,6.229583333
2016-05-13 13:54:58,1.851683333
2016-05-15 16:21:58,6.689666667
2016-05-15 16:22:58,1.384466667
2016-05-15 16:27:58,3.470916667
2016-05-15 16:29:58,0.744183333
2016-05-15 16:49:58,5.3815
2016-05-15 16:50:58,1.6905
2016-05-15 19:32:58,6.4919
2016-05-15 19:47:58,4.808466667
2016-05-15 20:22:58,3.759466667
2016-05-15 20:24:58,0.767833333
2016-05-15 20:43:58,4.1558
2016-05-15 21:07:58,0.726166667
2016-05-15 21:27:58,4.611383333
2016-05-15 22:21:58,6.33225
2016-05-15 22:22:58,3.500066667
2016-05-15 23:08:58,9.0743
2016-05-15 23:09:58,4.154983333
2016-05-18 01:21:58,1.55695
2016-05-18 12:22:58,6.507383333
2016-05-18 12:23:58,1.75615
2016-05-20 15:27:58,4.820966667
2016-05-20 15:28:58,1.669216667
2016-05-26 15:20:58,0.193183333
2016-05-26 21:46:58,4.484683333
2016-05-26 21:47:58,1.708283333
2016-05-27 00:57:58,3.768433333
2016-05-27 04:08:58,5.137
2016-05-27 04:09:58,0.3831
2016-05-27 07:18:58,5.334183333
2016-05-27 07:19:58,0.367233333
2016-05-27 10:26:58,3.1045
2016-05-27 13:36:58,3.689733333
2016-05-27 16:50:58,0.083683333
2016-05-27 20:04:58,5.345533333
2016-05-27 20:05:58,0.085083333
2016-05-27 23:16:58,5.66085
2016-05-27 23:17:58,0.42425
2016-05-28 02:26:58,4.233766667
2016-05-28 05:36:58,4.826016667
2016-05-28 05:37:58,0.56365
2016-05-28 08:47:58,0.26815
2016-05-28 11:55:58,5.695633333
2016-05-28 11:56:58,0.3923
2016-05-28 15:07:58,5.00075
2016-05-28 15:08:58,0.077866667
2016-05-28 18:23:58,4.247033333
2016-05-28 18:24:58,1.1916
2016-05-28 21:40:58,4.811616667
2016-05-28 21:41:58,0.77995
2016-05-29 00:54:58,4.531816667
2016-05-29 00:55:58,1.465633333
2016-05-29 04:10:58,0.549066667
2016-05-29 07:24:58,0.442966667
2016-05-29 10:37:58,0.32785
2016-05-29 13:50:58,5.30255
2016-05-29 13:51:58,0.030416667
2016-05-29 17:07:58,4.650816667
2016-05-29 17:08:58,1.4459
2016-05-29 20:27:58,0.323333333
2016-05-29 23:41:58,5.228416667
2016-05-29 23:42:58,0.7615
2016-05-30 02:55:58,3.865033333
2016-05-30 06:10:58,5.8104
2016-05-30 06:11:58,0.545983333
2016-05-30 09:25:58,5.663
2016-05-30 09:26:58,0.524433333
2016-05-30 12:40:58,5.640866667
2016-05-30 12:41:58,0.339433333
2016-05-30 15:56:58,5.093416667
2016-05-30 15:57:58,0.293416667
2016-05-30 19:14:58,5.36235
2016-05-30 19:15:58,0.178483333
2016-05-30 22:31:58,5.4925
2016-05-30 22:32:58,0.492316667
2016-05-31 01:47:58,3.381733333
2016-05-31 05:04:58,0.2743
2016-05-31 08:18:58,4.412383333
2016-05-31 11:33:58,3.61695
2016-05-31 18:10:58,5.92075
2016-05-31 18:11:58,0.666983333
2016-05-31 21:31:58,4.703016667
2016-05-31 21:32:58,1.481566667
2016-06-01 00:50:58,0.855116667
2016-06-01 04:04:58,4.571016667
2016-06-01 04:05:58,1.231033333
2016-06-01 07:18:58,5.369366667
2016-06-01 07:19:58,0.892033333
2016-06-01 10:33:58,6.125983333
2016-06-01 10:34:58,0.820716667
2016-06-01 13:49:58,5.792483333
2016-06-01 13:50:58,0.458983333
2016-06-01 17:08:58,3.8767
2016-06-01 20:31:58,0.275733333
2016-06-04 12:53:58,3.311633333
2016-06-04 12:55:58,0.4753
2016-06-04 13:15:58,5.0149
2016-06-04 13:16:58,1.392733333
2016-06-04 13:32:58,5.758116667
2016-06-04 13:33:58,0.4208
2016-06-04 13:55:58,0.2716
2016-06-04 14:59:58,4.532833333
2016-06-04 15:00:58,1.556916667
2016-06-04 15:45:58,5.347616667
2016-06-04 15:46:58,0.978366667
2016-06-04 18:30:58,4.325533333
2016-06-04 18:46:58,6.2713
2016-06-04 18:47:58,2.736533333
2016-06-04 19:21:58,4.8902
2016-06-04 21:50:58,1.0224
2016-06-04 22:50:58,6.512466667
2016-06-04 22:51:58,1.832716667
2016-06-04 23:07:58,5.557816667
2016-06-04 23:08:58,1.022316667
2016-06-04 23:20:58,1.018183333
2016-06-04 23:39:58,3.956416667
2016-06-04 23:44:58,7.590533333
2016-06-04 23:56:58,7.750383333
2016-06-04 23:58:58,4.80625
2016-06-05 01:40:58,6.50865
2016-06-05 01:41:58,3.416766667
2016-06-05 02:20:58,4.384133333
2016-06-05 02:36:58,6.362
2016-06-05 02:37:58,1.88765
2016-06-05 03:35:58,4.073533333
2016-06-05 15:16:58,5.703183333
2016-06-05 15:17:58,0.799766667
2016-06-05 15:28:58,5.766666667
2016-06-05 15:29:58,0.834166667
2016-06-05 16:03:58,5.646783333
2016-06-05 16:04:58,1.624833333
2016-06-05 16:20:58,0.738616667
2016-06-05 16:43:58,6.329616667
2016-06-05 16:44:58,1.66635
2016-06-05 16:54:58,3.819283333
2016-06-05 16:56:58,0.9888
2016-06-05 17:15:58,5.6906
2016-06-05 17:16:58,0.927883333
2016-06-05 17:31:58,0.883533333
2016-06-05 17:43:58,5.987283333
2016-06-05 17:44:58,1.907216667
2016-06-05 17:55:58,5.969683333
2016-06-05 17:56:58,1.6796
2016-06-05 18:09:58,5.6592
2016-06-05 18:10:58,0.78875
2016-06-05 20:09:58,5.793616667
2016-06-05 20:10:58,2.064233333
